,Symbol,Exchange,Volume,Volume %,+2% Depth,-2% Depth
9708,LTC/DOGE,Fatbtc,34311.16368364,0.0011822694684432288,1.43023143,98.86474755
9709,LTC/DFI,DeFiChain DEX,31663.20983194,0.0010910281738728477,0.0,0.0
9710,LTC/DAI,HitBTC,3308.25590189,0.00011399350901253747,813972.77464374,413889.84626218
9711,LTC/DAI,Changelly PRO,3308.25590189,0.00011399350901253747,813972.77464374,413889.84626218
9712,LTC/DAI,50x,32.79051379,1.1298720050981067e-06,459.46184663,18.26635088
9713,LTC/CZK,CoinMate,38502.11228914,0.0013266781695232188,37824.9991749,10566.59098237
9714,LTC/CRO,Crypto.com Exchange,16830.76872365,0.0005799425567687308,38718.63528057,60015.19245274
9715,LTC/CNY,TOPBTC,18195444.30959244,0.6269655692921714,0.0,0.0
9716,LTC/CLP,Buda,392413.81683388,0.013521513840674014,3049.27083202,15962.45854416
9717,LTC/CHF,Lykke Exchange,20066.79514505,0.0006914472341493187,400082.48246937,619492.57224121
9718,LTC/CAD,Bitbuy,72568.30823333,0.002500506715304201,28070.3611954,26791.62298193
9719,LTC/CAD,CoinField,6761.43729906,0.00023298075679326064,3057.1196799,5611.87057029
9720,LTC/CAD,Coinut,0.34811106,1.1994961221954897e-08,0.0,0.0
9721,LTC/CAD,Biconomy,0.0,0.0,32636.09342483,13601.5008916
9722,LTC/BYN,Currency.com,1742.26635701,6.003376448496516e-05,357.5578573,536.33678595
9723,LTC/BUSD,Mandala Exchange,11864402.30650634,0.408815064905481,64754443.07228453,78970460.77532418
9724,LTC/BUSD,Binance,11722787.30792718,0.40393539685815083,523505.64345815,783207.42392829
9725,LTC/BUSD,Dex-Trade,445027.58832429,0.015334441441331875,74005.17995629,78319.29428351
9726,LTC/BUSD,Binance TR,263946.21905121,0.009094869499983357,0.0,0.0
9727,LTC/BUSD,Folgory,84221.37418403,0.002902039703642835,519785.43273189,792002.09576531
9728,LTC/BTC,TOKENCAN,145141724.1279025,5.001189426736014,0.0,0.0
9729,LTC/BTC,TOPBTC,57296637.16623568,1.974286427318387,0.0,0.0
9730,LTC/BTC,Finexbox,40068028.43863791,1.380635385045358,29462542.17986058,8849592.72389786
9731,LTC/BTC,ATAIX,33988093.70076515,1.1711373546960773,7384.64242677,42542.94897697
9732,LTC/BTC,IndoEx,30677303.5012894,1.0570565206750613,446449.71232796,141986.26609219
9733,LTC/BST,Bitsten,1.36984262,4.720105447692784e-08,0.7848395,5.02905127
9734,LTC/BRL,Binance,482285.4946153,0.01661824765298138,50589.25221866,51860.0128435
9735,LTC/BRL,Mercado Bitcoin,261078.96373262,0.008996071672761405,27150.78166925,40985.24831945
9736,LTC/BRL,BitcoinTrade,14036.5434675,0.0004836611470573409,0.0,0.0
9737,LTC/BRL,NovaDAX,7503.82676966,0.00025856148069049797,27061.15696147,33424.68744536
9738,LTC/BNB,Binance,1179595.51162756,0.04064565607184279,107592.79500787,136027.80778125
9739,LTC/BNB,Folgory,39762.07772203,0.0013700931546963965,122356.44179034,135726.13792305
9740,LTC/BNB,CoinDCX,0.0,0.0,106899.78771194,12032027.52958325
9741,LTC/BCH,CoinEx,10597.79561757,0.00036517124009491597,4345.91410976,5424.49855431
9742,LTC/BCH,HitBTC,239.47125569,8.251528767211234e-06,1609595.5906615,1171898.39807532
9743,LTC/BCH,SouthXchange,35.6434477,1.2281763554949316e-06,66.09410276,700.22404343
9744,LTC/BCH,Gemini,0.0,0.0,90238.33349443,100568.1889307
9745,LTC/AUDT,TimeX,1195501.092574,0.04119371917177765,527825.24629848,147450.37067437
9746,LTC/AUD,CoinJar,169925.21869693,0.0058551613065723354,133908.51965836,93850.61878005
9747,LTC/AUD,Independent Reserve,32828.33152591,0.0011311751015172279,44116.05889492,26210.87254809
9748,LTC/AUD,BTC Markets,32091.83749805,0.0011057975185574049,24717.06258999,36213.014474
9749,LTC/AUD,Zipmex,18484.23858532,0.0006369166353067777,257975.0441878,265418.88031784
9750,LTC/AUD,Kraken,4643.87504834,0.00016001531558475107,93879.13955953,79342.08853431
9751,LTC/AED,PayBito,406034.49349755,0.013990845347686484,184179.45099984,499813.76137243
9752,GLC/LTC,SouthXchange,44.24591671,1.5245940624991813e-06,0.15821713,40.67516814
9753,GIO/LTC,Graviex,0.10266294,3.5374859512705005e-09,1.38366659,60.00582084
9754,ETNXP/LTC,TradeOgre,1.7868966,6.15716013867616e-08,0.0,0.0
