,slug,Exchange,Symbol,Base,Quote,Price,+2% Depth,-2% Depth,Volume,Volume %,Liquidity,Updated,rn
10423,tron,Poloniex,MDT/TRX,MDT,TRX,0.1008336911666,513.95354485,436.1241719,155.98570416,1.22866803942417e-05,41.1381309718,2021-10-10T17:16:53.000Z,1
10424,tron,Poloniex,MATTER/TRX,MATTER,TRX,0.1008336911666,253.49713005,1115.32842616,0.0,0.0,3.5312649888,2021-10-10T17:16:53.000Z,1
10425,tron,Poloniex,MATIC/TRX,MATIC,TRX,0.1008336911666,783.85272117,768.17819714,1194.87936257,9.411824574971254e-05,0.0016862584,2021-10-10T17:16:53.000Z,1
10426,tron,TronTrade,LVH/TRX,LVH,TRX,0.1008336911666,0.0,0.0,0.0,0.0,0.0,2021-10-10T17:15:10.000Z,1
10427,tron,JustSwap,LUMI/TRX,LUMI,TRX,0.10083369116659974,0.0,0.0,778798.61946361,0.06134440191397883,0.0,2021-10-10T17:15:10.000Z,1
10428,tron,Poloniex,LUMI/TRX,LUMI,TRX,0.1008336911666,2615.97164325,104.42135344,30478.26873118,0.002400711968359005,8.6174730741,2021-10-10T17:16:53.000Z,2
10429,tron,Cat.Ex,LTC/TRX,LTC,TRX,0.1004727920127,35.82057892,4319.15320054,5256507.03734506,0.4140444940498774,14.9123422248,2021-10-10T17:15:08.000Z,1
10430,tron,TronTrade,LIVE/TRX,LIVE,TRX,0.1008336911666,0.0,0.0,1135.7906973,8.946395035126927e-05,0.0,2021-10-10T17:15:10.000Z,1
10431,tron,PoloniDEX,LIVE/TRX,LIVE,TRX,0.1008336911666,0.00076053,0.00025167,127.78581777,1.006543202347782e-05,0.0,2021-10-10T17:15:10.000Z,2
10432,tron,Poloniex,LINK/TRX,LINK,TRX,0.1008336911666,854.83980136,473.32932335,342.72783362,2.6995982590689384e-05,56.5642102108,2021-10-10T17:16:53.000Z,1
10433,tron,Cat.Ex,LIB/TRX,LIB,TRX,0.1008336911666,0.0,0.0,0.0,0.0,0.0,2021-10-10T17:15:08.000Z,1
10434,tron,JustSwap,KODX/TRX,KODX,TRX,0.10080986397579,0.0,0.0,2569.62309435,0.00020240404634488932,0.0,2021-10-10T17:15:10.000Z,1
10435,tron,PoloniDEX,KODX/TRX,KODX,TRX,0.10080986397579,0.00147911,0.00019577,972.41194791,7.659493464386318e-05,0.0,2021-10-10T17:15:10.000Z,2
10436,tron,KuCoin,KLV/TRX,KLV,TRX,0.1008336911666,35289.42121936,2166.73434289,158384.71004134,0.012475645265648736,2.243e-07,2021-10-10T17:16:53.000Z,1
